Model	Name
SRR6064903	R_IS_290_S1
SRR6064904	R_IS_290_S2
SRR6064905	R_A1_345_S5
SRR6064906	R_A1_345_S6
SRR6064907	R_A1_345_S3
SRR6064908	R_A1_345_S4
SRR6064909	R_A1_345_S1
SRR6064910	R_A1_345_S2
SRR6064911	R_A1_335_S5
SRR6064912	R_A1_335_S6
SRR6064913	R_IS_335_S3
SRR6064914	R_IS_335_S4
SRR6064915	R_IS_335_S5
SRR6064916	R_IS_335_S6
SRR6064917	R_IS_290_S5
SRR6064918	R_IS_290_S6
SRR6064919	R_IS_335_S1
SRR6064920	R_IS_335_S2
SRR6064921	R_IS_290_S3
SRR6064922	R_IS_290_S4
SRR6064923	R_A1_290_S6
SRR6064924	R_A1_290_S5
SRR6064925	R_A1_290_S4
SRR6064926	R_A1_290_S3
SRR6064927	R_A1_335_S4
SRR6064928	R_A1_335_S3
SRR6064929	R_A1_335_S2
SRR6064930	R_A1_335_S1
SRR6064931	R_A1_290_S2
SRR6064932	R_A1_290_S1
