AB097465	CladeD;D109
AB190267	CladeC;C1082
AB190268	CladeC;C1116
AB190269	CladeC;C1040
AB190271	CladeC;C1078
AB190273	CladeC;C1115
AB190274	CladeC;C1039
AB190280	CladeA;A111
AB190282	CladeA;A110
AB190284	CladeA;A132
AB190285	CladeA;A109
AB207186	CladeC;C1091
AB207191	CladeC;C1090
AB207196	CladeC;C1114
AB207197	CladeA;A108
AB207199	CladeA;A107
AB207200	CladeA;A106
AB207202	CladeA;A105
AB207203	CladeA;A104
AB207206	CladeA;A103
AB207209	CladeA;A102
AB207210	CladeA;A1.2
AB253787	CladeC;C1101
AB253788	CladeG;G100
AB294581	CladeC;C1165
AB294583	CladeC;C1168
AB294584	CladeC;C1166
AB294586	CladeC;C1167
AB294593	CladeC;C1164
AB294594	CladeC;C1162
AB294596	CladeC;C1163
AB294606	CladeC;C1161
AB294608	CladeC;C1160
AB294613	CladeC;C1159
AB294614	CladeC;C1158
AB294616	CladeC;C1156
AB294617	CladeC;C1155
AB294620	CladeC;C1149
AB294621	CladeC;C1151
AB294622	CladeC;C1150
AB294625	CladeC;C1153
AB294626	CladeC;C1154
AB294627	CladeC;C1187
AB294628	CladeC;C1186
AB294629	CladeC;C1185
AB294630	CladeC;C1184
AB294631	CladeC;C1183
AB294640	CladeC;C1181
AB294641	CladeC;C1180
AB294645	CladeC;C1179
AB294647	CladeC;C1178
AB294649	CladeC;C1182
AB294651	CladeC;C1176
AB294653	CladeC;C1175
AB294655	CladeC;C1174
AB294659	CladeC;C1177
AB294660	CladeC;C1169
AB294661	CladeC;C1170
AB294662	CladeC;C1173
AB294663	CladeC;C1171
AB294665	CladeC;C1172
AF174542	CladeD;D117
AF174549	CladeD;D114
AF174557	CladeD;D113
AF174558	CladeD;D112
AF174559	CladeD;D106
AF174560	CladeD;D111
AF174561	CladeD;D110
AF174562	CladeD;D115
AF174567	CladeD;D108
AF174568	CladeD;D107
AF174570	CladeD;D105
AF174571	CladeD;D116
AF174572	CladeD;D104
AF174573	CladeD;D102
AF174575	CladeD;D103
AF180120	CladeA;A118
AF180121	CladeA;A119
AF180122	CladeA;A120
AF180123	CladeA;A115
AF180124	CladeB;B117
AF180127	CladeC;C1118
AF180130	CladeF;F100
AF183575	CladeA;A116
AF184941	CladeA;A114
AF184948	CladeA;A113
AF184949	CladeA;A112
AF186058	CladeA;A6
AF195153	CladeC;C1051
AF201746	CladeA;A117
AF333504	CladeA;A1.1andA13
AF333505	CladeA;A1
AF333506	CladeA;A2
AF333507	CladeA;A3
AF333508	CladeA;A5
AF333509	CladeA;A4
AF333510	CladeB;B4
AF333511	CladeB;B1
AF333512	CladeB;B2
AF333514	CladeB;B3
AF333515	CladeC;C1
AF333517	CladeF;F1
AF333518	CladeC;C2
AF334659	CladeE;E1
AF334660	CladeD;D1
AF360564	CladeB;B114
AF360566	CladeB;B112
AF360572	CladeB;B115
AF360573	CladeB;B110
AF360575	CladeB;B111
AF411415	CladeD;D100
AF411416	CladeD;D101
AF427468	CladeA;A101
AF427469	CladeC;C1104
AF427470	CladeC;C1103
AF499778	CladeA;A4a
AF499779	CladeB;B1a
AF499780	CladeB;B1b
AF499781	CladeB;B5
AF499782	CladeB;B5a
AF499783	CladeB;B6
AF499784	CladeB;B7
AF499785	CladeB;B8
AF499786	CladeB;B9
AF499787	CladeB;B10
AF499788	CladeC;C1a
AF499789	CladeC;C3
AF499790	CladeC;C3a
AF499791	CladeC;C3b
AF499793	CladeC;C3e
AF499794	CladeC;C4
AF499795	CladeC;C5
AF499796	CladeC;C6
AF499797	CladeC;C7
AF499798	CladeC;C9
AF499799	CladeC;C10
AF499800	CladeC;C11
AF499801	CladeC;C12
AF499802	CladeD;D1a
AJ278598	CladeC;C1089
AJ291512	CladeF;F107andF5.2f
AJ291513	CladeH;H100
AJ291514	CladeC;C1094
AJ291520	CladeH;H6
AJ291521	CladeF;F2b
AJ291525	CladeF;F114
AJ291526	CladeF;F110
AJ291527	CladeF;F109
AJ291528	CladeF;F112
AJ291530	CladeF;F5.2d
AJ291531	CladeF;F104
AJ291533	CladeF;F113andF5.2e
AJ291534	CladeF;F102
AJ291535	CladeF;F5.1b
AJ291539	CladeG;G101
AJ311943	CladeC;C1097
AJ311949	CladeF;F111
AJ621135	CladeF;F4.8c
AJ621146	CladeF;F4.1b
AJ621536	CladeC;C93
AJ621539	CladeC;C94
AJ621543	CladeC;C91
AJ830908	CladeF;F2
AJ830911	CladeF;F2a
AM748554	CladeC;C90
AM748556	CladeC;C91a
AM748557	CladeC;C91b
AM748558	CladeC;C91c
AM748559	CladeC;C91d
AM748560	CladeC;C92
AM748561	CladeC;C92a
AM748562	CladeC;C93
AM748563	CladeC;C93a
AM748564	CladeD;D1.1
AM748565	CladeF;F3.1
AM748566	CladeF;F3.1a
AM748567	CladeF;F3.2
AM748568	CladeF;F3.2a
AM748569	CladeF;F3.3
AM748570	CladeF;F3.4
AM748571	CladeF;F3.4a
AM748572	CladeF;F4.1
AM748573	CladeF;F4.1a
AM748574	CladeF;F4.2
AM748575	CladeF;F4.2a
AM748576	CladeF;F4.2b
AM748577	CladeF;F4.2c
AM748578	CladeF;F4.3
AM748579	CladeF;F4.3a
AM748580	CladeF;F4.3b
AM748581	CladeF;F4.3c
AM748582	CladeF;F4.4
AM748583	CladeF;F4.4a
AM748584	CladeF;F4.4b
AM748585	CladeF;F4.5
AM748586	CladeF;F4.6
AM748587	CladeF;F4.7
AM748588	CladeF;F4.8
AM748589	CladeF;F4.8a
AM748590	CladeF;F4.8b
AM748591	CladeF;F5.1a
AM748592	CladeF;F5.1
AM748593	CladeF;F5.1c
AM748594	CladeF;F5.2
AM748595	CladeF;F5.2b
AM748596	CladeF;F5.2c
AM748597	CladeG;G1
AM748598	CladeG;G2
AM748599	CladeG;G2a
AM748600	CladeG;G3
AM748601	CladeG;G4
AM748602	CladeH;H1
AM748604	CladeH;H1b
AM748605	CladeH;H2
AM748606	CladeH;H3
AM748607	CladeH;H4
AM748608	CladeH;H4a
AM748609	CladeH;H5
AM748610	CladeH;H5b
AM748611	CladeH;H5a
AM748612	CladeH;H1a
AM748614	CladeF;F5.2a
AM748616	CladeF;F3.4b
AM748617	CladeD;D1.2
AY074986	CladeB;B101
AY160123	CladeE;E101
AY186548	CladeC;C1041
AY186565	CladeC;C1054
AY186568	CladeC;C1061
AY186569	CladeC;C1053
AY186570	CladeC;C1052
AY237300	CladeC;C1083
AY239360	CladeA;A7
AY239361	CladeB;B11
AY239362	CladeB;B14
AY239363	CladeC;C1bandC1e
AY239364	CladeC;Cstar
AY239365	CladeC;C3h
